Year,Month,Tourist Arrivals
2018,January,120974
2018,February,115600
2018,March,119841
2018,April,104967
2018,May,101138
2018,June,84345
2018,July,115881
2018,August,109471
2018,September,102849
2018,October,134052
2018,November,132247
2018,December,158043
2019,January,122273
2019,February,115613
2019,March,114419
2019,April,108565
2019,May,96814
2019,June,92398
2019,July,115448
2019,August,107275
2019,September,100837
2019,October,129018
2019,November,128730
2019,December,152098
