Month,2015,2016,2017,2018,2019
January,103556,118426,124362,120974,122273
February,91066,100706,105049,115600,115613
March,96425,108704,110271,119841,114419
April,90221,91992,111432,104967,108565
May,87054,94830,96557,101138,96814
June,65459,71806,78188,84345,92398
July,95694,108122,112347,115881,115448
August,89422,94920,100191,109471,107275
September,84456,91384,96282,102849,100837
October,109014,130421,130070,134052,129018
November,106204,115782,121496,132247,128730
December,132681,148134,155615,158043,152098
